Name,Time-FD,Corr-FD,Sys-FD,Planner-FD,Time-SOFAI-PF-FD,Corr-SOFAI-PF-FD,Sys-SOFAI-PF-FD,Planner-SOFAI-PF-FD,Time-SOFAI-PF-LPGxFD,Corr-SOFAI-PF-LPGxFD,Sys-SOFAI-PF-LPGxFD,Planner-SOFAI-PF-LPGxFD
_problem_12_17__0,61148.181200027466,0.0,-1,-1,60311.99836730957,0.0,-1,-1,60256.77251815796,0.0,-1,-1.0
_problem_12_34__0,61141.84856414795,0.0,-1,-1,60710.43848991394,0.0,-1,-1,60468.188524246216,0.0,-1,-1.0
_problem_12_43__0,61187.40057945252,0.0,-1,-1,60277.32563018799,0.0,-1,-1,60182.92784690857,0.0,-1,-1.0
_problem_12_47__0,61139.342069625854,0.0,-1,-1,60263.61012458801,0.0,-1,-1,60297.61791229248,0.0,-1,-1.0
_problem_12_56__0,61156.61263465881,0.0,-1,-1,60450.8228302002,0.0,-1,-1,61373.3971118927,0.0,-1,-1.0
blocksworld_problem_10_100__0,3580.6338787078857,1.0,2,1,7414.393424987793,1.0,2,1,5684.963703155518,1.0,2,3.0
blocksworld_problem_10_101__0,2930.038452148437,1.0,2,1,7257.562160491943,1.0,2,1,5358.02698135376,1.0,2,3.0
blocksworld_problem_10_102__0,2725.8338928222656,1.0,2,1,6667.340517044067,1.0,2,1,5675.19736289978,1.0,2,3.0
blocksworld_problem_10_103__0,2558.2218170166016,1.0,2,1,6887.671709060669,1.0,2,1,5294.667959213257,1.0,2,3.0
blocksworld_problem_10_104__0,2421.0550785064697,1.0,2,1,7083.729982376099,1.0,2,1,8473.26922416687,1.0,2,1.0
blocksworld_problem_10_105__0,2474.806070327759,1.0,2,1,6603.131771087647,1.0,2,1,5310.46199798584,1.0,2,3.0
blocksworld_problem_10_106__0,2565.7286643981934,1.0,2,1,6527.099132537842,1.0,2,1,8923.428535461426,1.0,2,1.0
blocksworld_problem_10_107__0,2902.8472900390625,1.0,2,1,6527.547359466553,1.0,2,1,5403.635740280151,1.0,2,3.0
blocksworld_problem_10_108__0,4040.5972003936768,1.0,2,1,8016.573429107666,1.0,2,1,5781.037092208862,1.0,2,3.0
blocksworld_problem_10_109__0,43110.36801338196,1.0,2,1,46874.69387054443,1.0,2,1,5467.010974884033,1.0,2,3.0
blocksworld_problem_10_110__0,3143.306255340576,1.0,2,1,6866.987466812134,1.0,2,1,5698.5368728637695,1.0,2,3.0
blocksworld_problem_10_111__0,2616.4112091064453,1.0,2,1,7103.416442871094,1.0,2,1,5237.059831619263,1.0,2,3.0
blocksworld_problem_10_112__0,2952.266216278076,1.0,2,1,8125.872373580933,1.0,2,1,5389.59264755249,1.0,2,3.0
blocksworld_problem_10_113__0,4454.114675521851,1.0,2,1,8472.18108177185,1.0,2,1,5452.7435302734375,1.0,2,3.0
blocksworld_problem_10_114__0,2607.9440116882324,1.0,2,1,5867.774486541748,1.0,2,1,5474.97034072876,1.0,2,3.0
blocksworld_problem_10_115__0,2955.493211746216,1.0,2,1,8909.307956695557,1.0,2,1,5180.51815032959,1.0,2,3.0
blocksworld_problem_10_116__0,3835.736989974976,1.0,2,1,6209.554195404053,1.0,2,1,5533.553838729858,1.0,2,3.0
blocksworld_problem_10_117__0,2455.35945892334,1.0,2,1,6072.382211685181,1.0,2,1,5778.247833251953,1.0,2,3.0
blocksworld_problem_10_118__0,2313.859939575196,1.0,2,1,9377.708435058594,1.0,2,1,5087.28289604187,1.0,2,3.0
blocksworld_problem_10_119__0,2498.1188774108887,1.0,2,1,6475.605010986328,1.0,2,1,5675.904989242554,1.0,2,3.0
blocksworld_problem_10_91__0,2362.015008926392,1.0,2,1,5924.354076385498,1.0,2,1,5152.500629425049,1.0,2,3.0
blocksworld_problem_10_92__0,3178.382396697998,1.0,2,1,7449.474334716797,1.0,2,1,5461.899280548096,1.0,2,3.0
blocksworld_problem_10_93__0,2527.6777744293213,1.0,2,1,7207.3986530303955,1.0,2,1,5018.571615219116,1.0,2,3.0
blocksworld_problem_10_94__0,2630.866765975952,1.0,2,1,6494.662284851074,1.0,2,1,5597.388029098511,1.0,2,3.0
blocksworld_problem_10_95__0,2458.075523376465,1.0,2,1,6791.425943374634,1.0,2,1,5573.18115234375,1.0,2,3.0
blocksworld_problem_10_97__0,7036.528587341309,1.0,2,1,11151.5691280365,1.0,2,1,5056.164264678955,1.0,2,3.0
blocksworld_problem_10_98__0,4007.014036178589,1.0,2,1,9386.17777824402,1.0,2,1,6161.821842193604,1.0,2,3.0
blocksworld_problem_10_99__0,2396.3751792907715,1.0,2,1,7020.684003829956,1.0,2,1,5845.922946929932,1.0,2,3.0
blocksworld_problem_12_10__0,3919.260501861572,1.0,2,1,7964.280128479004,1.0,2,1,8050.525188446045,1.0,2,1.0
blocksworld_problem_12_11__0,9337.546586990356,1.0,2,1,13533.827543258669,1.0,2,1,14527.706146240234,1.0,2,1.0
blocksworld_problem_12_13__0,2692.4850940704346,1.0,2,1,6870.3343868255615,1.0,2,1,6495.681047439575,1.0,2,1.0
blocksworld_problem_12_14__0,6850.027561187744,1.0,2,1,12469.102144241331,1.0,2,1,10934.411525726318,1.0,2,1.0
blocksworld_problem_12_18__0,3432.2078227996826,1.0,2,1,8884.551286697388,1.0,2,1,5572.876214981079,1.0,2,3.0
blocksworld_problem_12_19__0,12436.345100402832,1.0,2,1,16208.101272583008,1.0,2,1,5238.067626953125,1.0,2,3.0
blocksworld_problem_12_1__0,2326.8022537231445,1.0,2,1,5945.416688919067,1.0,2,1,5935.10627746582,1.0,2,3.0
blocksworld_problem_12_21__0,2437.5154972076416,1.0,2,1,8025.551319122314,1.0,2,1,5545.082330703735,1.0,2,3.0
blocksworld_problem_12_22__0,2530.261516571045,1.0,2,1,6656.895160675049,1.0,2,1,5368.836879730225,1.0,2,3.0
blocksworld_problem_12_24__0,23903.468370437626,1.0,2,1,27324.55682754517,1.0,2,1,5544.636011123657,1.0,2,3.0
blocksworld_problem_12_26__0,19289.29305076599,1.0,2,1,25135.204792022705,1.0,2,1,6161.056041717529,1.0,2,3.0
blocksworld_problem_12_27__0,10676.071643829346,1.0,2,1,14471.046447753906,1.0,2,1,15828.499794006348,1.0,2,1.0
blocksworld_problem_12_28__0,29577.547073364258,1.0,2,1,35338.468074798584,1.0,2,1,8069.801807403564,1.0,2,3.0
blocksworld_problem_12_29__0,13274.799108505247,1.0,2,1,17783.577919006348,1.0,2,1,5596.650123596191,1.0,2,3.0
blocksworld_problem_12_2__0,6769.678592681885,1.0,2,1,11284.445524215698,1.0,2,1,5888.064622879028,1.0,2,3.0
blocksworld_problem_12_30__0,8096.662044525146,1.0,2,1,12196.365356445312,1.0,2,1,5354.947805404663,1.0,2,3.0
blocksworld_problem_12_31__0,8157.631158828735,1.0,2,1,12289.380073547363,1.0,2,1,12029.644966125488,1.0,2,1.0
blocksworld_problem_12_33__0,51049.95560646057,1.0,2,1,56099.4439125061,1.0,2,1,56249.58515167236,1.0,2,1.0
blocksworld_problem_12_36__0,2653.1786918640137,1.0,2,1,7033.025979995728,1.0,2,1,5621.15216255188,1.0,2,3.0
blocksworld_problem_12_37__0,2727.913379669189,1.0,2,1,7020.187377929688,1.0,2,1,7325.057983398437,1.0,2,1.0
blocksworld_problem_12_39__0,2608.513832092285,1.0,2,1,10206.17961883545,1.0,2,1,5911.595821380615,1.0,2,3.0
blocksworld_problem_12_3__0,15387.563943862917,1.0,2,1,19395.179510116577,1.0,2,1,5605.2844524383545,1.0,2,3.0
blocksworld_problem_12_40__0,6197.700023651123,1.0,2,1,10694.243907928469,1.0,2,1,5487.962484359741,1.0,2,3.0
blocksworld_problem_12_41__0,27347.999572753903,1.0,2,1,31064.33582305908,1.0,2,1,5236.958980560303,1.0,2,3.0
blocksworld_problem_12_44__0,6244.510173797607,1.0,2,1,13160.580158233644,1.0,2,1,5592.859506607056,1.0,2,3.0
blocksworld_problem_12_46__0,4232.651710510254,1.0,2,1,8385.65969467163,1.0,2,1,7830.99102973938,1.0,2,3.0
blocksworld_problem_12_4__0,21730.85308074951,1.0,2,1,26403.392553329468,1.0,2,1,5621.793270111084,1.0,2,3.0
blocksworld_problem_12_50__0,3752.9101371765137,1.0,2,1,9001.980066299438,1.0,2,1,6024.779319763184,1.0,2,3.0
blocksworld_problem_12_53__0,2612.539529800415,1.0,2,1,6859.829664230347,1.0,2,1,5393.732786178589,1.0,2,3.0
blocksworld_problem_12_54__0,44773.91076087952,1.0,2,1,48826.67589187622,1.0,2,1,6298.735857009888,1.0,2,3.0
blocksworld_problem_12_57__0,8360.81075668335,1.0,2,1,14890.14220237732,1.0,2,1,5427.970170974731,1.0,2,3.0
blocksworld_problem_12_59__0,5441.87593460083,1.0,2,1,9418.147802352903,1.0,2,1,5639.0228271484375,1.0,2,3.0
